,Unnamed: 0,station_name,place_name,author_name,rating,text,time,Language,Sentiment,Sentiment_Score,Latitude,Longitude,assigned_district,daerah,projected_population
11,11,PARIT BUNTAR,Petronas,Jafarul Warner,5,Good clean place. 2 Working air pump. Cleam toilet. Not a crowded place. Pump and chill.,1658655396,en,positive,0.6414035558700562,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
12,12,PARIT BUNTAR,Petronas,Ara Hisham,5,I love this place! Cashiers are all welcoming and friendly!  Good services are given.,1596507244,en,very positive,0.8959806561470032,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
13,13,PARIT BUNTAR,Petronas,Naim Saat,5,"BMF, Malaysia muslim company support Petronas.

SETEL app can use here too",1598747120,en,very positive,0.3325066864490509,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
14,14,PARIT BUNTAR,Petronas,mat ros,5,Used to be the beat petronas by it size n facilities provided there.bit sadly no more atm machine,1504889817,en,neutral,0.3555651903152466,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
15,15,KUALA KANGSAR 1,PETRONAS Kuala Kangsar 1,RxeL [ M991 ],5,"The station maintains a clean and well-organized environment. No sticky fuel pumps or litter in sight , clean restrooms and a nice convenience store . Kudos to the staff!

The attendants are friendly, efficient, and always ready to assist. Their smiles make refueling feel like a pleasant pit stop rather than a chore . Overal 5/5 stars 🌟",1714321942,en,very positive,0.5890352129936218,4.76007,100.926712,"Kuala Kangsar, Perak","Kuala Kangsar, Perak",184499.54645097564
16,16,KUALA KANGSAR 1,PETRONAS Kuala Kangsar 1,Juan77 Channel,5,"Nice petrol station facility, the nearest to Kuala Kangsar town before reach another one (if heading towards Manong/Beruas via old road)",1710414829,en,positive,0.5988981127738953,4.76007,100.926712,"Kuala Kangsar, Perak","Kuala Kangsar, Perak",184499.54645097564
17,17,KUALA KANGSAR 1,PETRONAS Kuala Kangsar 1,Firdaus Yahya,4,"They have 3 island pump available to fill your tanks. 1 of them are dedicated for motorcyclist. Payment via Setel apps are well accepted.

Toilets are in good shape & clean. Thumbs up to that !

However, pay attention when you pick up any can beverages from their fridge, especially the one located outside. I found the can was covered in what appears to me ; resembles a roach's fecal stains.",1700750076,en,neutral,0.5113303065299988,4.76007,100.926712,"Kuala Kangsar, Perak","Kuala Kangsar, Perak",184499.54645097564
18,18,KUALA KANGSAR 1,PETRONAS Kuala Kangsar 1,AkbalAnas Abd kader,5,Setel is accessible. That's good. Not that many pumps but sufficient enough for the area. The mart is small but you can get basics needs for the road.,1602399267,en,neutral,0.5177586078643799,4.76007,100.926712,"Kuala Kangsar, Perak","Kuala Kangsar, Perak",184499.54645097564
19,19,KUALA KANGSAR 1,PETRONAS Kuala Kangsar 1,Sharolhisham Sharuddin,4,"Small but accomodate to comunity..it has almost every need..got nice staffs..strategicly located near Simpang3, Manong and Kuala Kangsar motorway,",1600141940,en,positive,0.5929496884346008,4.76007,100.926712,"Kuala Kangsar, Perak","Kuala Kangsar, Perak",184499.54645097564
20,20,SIMPANG,PETRONAS JALAN SIMPANG TAIPING PERAK,CHUAH SUAT HOON,3,Newly renovated.hope later will have more facilities provide here,1712507819,en,positive,0.2973621189594269,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
21,21,SIMPANG,PETRONAS JALAN SIMPANG TAIPING PERAK,Fitri Puspita,5,"Thanks to gas station ^_^
The best place for drivers and riders to use the tandas/toilet, got refreshen from a long trip, can buy some water and snacks. Great value for us!",1674607063,en,very positive,0.8568761348724365,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
22,22,SIMPANG,PETRONAS JALAN SIMPANG TAIPING PERAK,Mohd Nor Akram Abdul Wahab,1,"What a lousy customer service. I asked for RON97 at the counter. The cashier wrongly entered RON95. Then I when go back to my car to pump the petrol, there is a helper who already put RON95 into my car. What da HELL!!!!

If the first mistake already done, I still can correct it by informing them to change to RON97. Why should I expect a helper to pump my petrol when it is SELF SERVICE!!!!

What me angry was the helper keep saying it's not his fault and it's his job to pump petrol for customer.
The petrol pump is a SELF SERVICE FOR GOD SAKE!!!

WORSE PETRONAS EVER!!!
😡😡😡🤬🤬🤬",1601171508,en,very negative,0.9101307988166808,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
23,23,SIMPANG,PETRONAS JALAN SIMPANG TAIPING PERAK,kurt meera,5,Ok,1722222459,unknown,neutral,0.4951143860816955,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
24,24,SIMPANG,PETRONAS JALAN SIMPANG TAIPING PERAK,Ahmad Zhafran,5,Customer friendly and easy to fill up the gas using the Setel app,1618731462,en,very positive,0.5370358824729919,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
25,25,SIMPANG,Maybank ATM @ SHELL FUELS,Seow ley Lee,5,A convinence stop to enable withdrawal of money outskirts,1560322347,en,very negative,0.5696638822555542,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
26,26,SIMPANG,Maybank ATM @ SHELL FUELS,Rosli Mohammed,3,Want to shop at the Ramadan bazaar...,1558148112,en,very positive,0.2475092709064483,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
27,27,SIMPANG,Maybank ATM @ SHELL FUELS,wan zaharizal che zainon,4,Among the closest...,1565664800,en,very positive,0.4899081885814667,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
28,28,SIMPANG,Maybank ATM @ SHELL FUELS,Vip Vvip,4,The best,1697083934,en,very positive,0.9091945290565492,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
29,29,SIMPANG,Maybank ATM @ SHELL FUELS,m ayie,5,close to the park,1560073206,en,positive,0.3923237323760986,4.831793,100.725511,"Larut Dan Matang, Perak","Larut Dan Matang, Perak",285295.76132845983
30,30,KAMPUNG SIMEE,PETRONAS - Kampung Simee,Thesigan Nadarajan,4,Excellent service,1716803952,ca,very positive,0.8255067467689514,4.608538,101.09937,"Kinta, Perak","Kinta, Perak",941558.8869696336
31,31,KAMPUNG SIMEE,PETRONAS - Kampung Simee,MarCta Isma,3,"Sukan Sukma just around the corner, feel like fuel...just come and drop by here at petrol station, which is just opposite the stadium perak after all.",1536850273,en,very negative,0.3879300653934479,4.608538,101.09937,"Kinta, Perak","Kinta, Perak",941558.8869696336
32,32,KAMPUNG SIMEE,PETRONAS - Kampung Simee,Mohamad Shukri,5,Petrol pump and very good service four you vehicle and big clean powerfull.,1648026252,en,very positive,0.7145528197288513,4.608538,101.09937,"Kinta, Perak","Kinta, Perak",941558.8869696336
33,33,KAMPUNG SIMEE,PETRONAS - Kampung Simee,Peter Kew,4,Workers here polite n helpful..a good example of a petronas brand..,1646728591,en,positive,0.320900946855545,4.608538,101.09937,"Kinta, Perak","Kinta, Perak",941558.8869696336
34,34,KAMPUNG SIMEE,PETRONAS - Kampung Simee,Rose Yuzz,5,Nearest place beside the hockey Stadium All people working over there is kind polite people,1653115688,en,positive,0.3058913946151733,4.608538,101.09937,"Kinta, Perak","Kinta, Perak",941558.8869696336
35,35,KAMPAR,Petronas Kampar,Carolyn,1,"scan qr code in front counter, then say never receive tng. then the qr code put for what?? unhelpful staff  incompetent and fraudulent, the whole thing is a scam.",1701753398,en,very negative,0.9544405937194824,4.298691,101.159901,"Kampar, Perak","Kampar, Perak",102350.11335966532
36,36,KAMPAR,Petronas Kampar,Azizi Ahmad,1,"Have to upgrade .... outside,inside the convenience shop ,the toilet.not landscape flower ,small tree around the station .",1678314316,en,negative,0.4343663156032562,4.298691,101.159901,"Kampar, Perak","Kampar, Perak",102350.11335966532
37,37,KAMPAR,Petronas Kampar,adam hani,4,Toilet knee improves . Ermm ...,1690157334,et,positive,0.3250678777694702,4.298691,101.159901,"Kampar, Perak","Kampar, Perak",102350.11335966532
38,38,KAMPAR,Petronas Kampar,unknown reaper,4,Good,1714656834,so,positive,0.4969630539417267,4.298691,101.159901,"Kampar, Perak","Kampar, Perak",102350.11335966532
39,39,KAMPAR,Petronas Kampar,Nor Azlan Mohd Nor,5,Friendly staff.. clean restroom and surau,1641644497,en,positive,0.4722742140293121,4.298691,101.159901,"Kampar, Perak","Kampar, Perak",102350.11335966532
40,40,SERI MANJUNG,Petronas - Seri Manjung,MP Used Cars,1,Could be more polite to customers. Not very friendly. It’s has potential to be a great business but poorly managed.,1717255269,en,negative,0.6345807313919067,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
41,41,SERI MANJUNG,Petronas - Seri Manjung,Leanie Toh,4,Great location by the main road in sri manjung but a bit too near the traffic lights. Have to be extra careful when turning left into the station if coming from Sitiawan as there will always be traffic from left side. For Sitiawan  people its either choosing this station or the other outlet in Kg Koh. Service was okay and not too crowded whenever I visited.,1684590015,en,neutral,0.5491527318954468,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
42,42,SERI MANJUNG,Petronas - Seri Manjung,James Connaugh,4,"Place is kept clean. It is easily accessible as it is situated at a traffic light.

As usual, there are the usual stuff sold at other similar petrol station. Warm meals are offered too.

For topping up the tyres, they can be done at the back left corner. The restroom is situated beside it.",1700927389,en,positive,0.6388261318206787,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
43,43,SERI MANJUNG,Petronas - Seri Manjung,CH Yau,5,This petrol station is practically a landmark when someone's giving direction to someone's not local. It has 2 tyre pumps that are in good working condition which I find rare in other stations (kipidap 👍).  Also Petronas stations' toilets are usually cleaner too.,1687499858,en,positive,0.5134583711624146,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
44,44,SERI MANJUNG,Petronas - Seri Manjung,Daniel Farid bin Faizal,5,"Although its small in size compared to the other stations nearby, the service provided is sufficient enough taking into consideration its size and location. Just be extra careful while driving in and out. It also has a convenient store for you to catch some beverages or quick titbits.",1636769156,en,positive,0.6198792457580566,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
45,45,SERI MANJUNG,Caltex,Ming Lee Chai,1,"9.48pm already closed, asked the staff 9pm off isit then she told me 10pm close👍
9.48pm is 10pm?",1707486851,en,very negative,0.6994245648384094,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
46,46,SERI MANJUNG,Caltex,Dorra Tim,5,Super convenient for me to pump petrol and get grocery done,1669729968,en,very positive,0.8033605217933655,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
47,47,SERI MANJUNG,Caltex,Azran Mizam,4,Among the gas stations that are already operating in this area next to Ikhwan supermarket in old Manjung with some of the best petrol and diesel pumps 👍👍👍👍,1724113045,en,very positive,0.6606670022010803,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
48,48,SERI MANJUNG,Caltex,Nik Arif,1,Why is the pump broken.. the oil is not full...,1712200089,en,very negative,0.5350128412246704,4.205768,100.672743,"Manjung, Perak","Manjung, Perak",261365.72470287004
49,49,JLN TUN ABDUL RAZAK,Shell,kd villanz,5,Very nice place and quite,1503129524,en,very positive,0.5945351123809814,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
50,50,JLN TUN ABDUL RAZAK,Shell,Kelulut Desaperak,3,Behind main road,1492437574,en,very positive,0.3151976764202118,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
51,51,JLN TUN ABDUL RAZAK,Shell,duckdizzystore,5,,1617366231,unknown,positive,0.2846148908138275,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
52,52,JLN TUN ABDUL RAZAK,Shell,Thamil Arasu,3,,1608892184,unknown,positive,0.2846148908138275,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
53,53,JLN TUN ABDUL RAZAK,Shell,Leow Sam Nyin,3,,1605775225,unknown,positive,0.2846148908138275,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
54,54,JLN TUN ABDUL RAZAK,PETRONAS - Jalan Tun Abdul Razak,James Connaugh,4,"As usual for a patrol station, kept neat and clean. Being slightly out of the main road, it is not that noticeable, thus having less customers than the usual.

Everything is good, including the washroom which is kept clean and pleasant to use.

They also have tidbits, beverages and snacks for sale should you feel the need for it.",1697735835,en,positive,0.6634900569915771,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
55,55,JLN TUN ABDUL RAZAK,PETRONAS - Jalan Tun Abdul Razak,Ramlee Mohd,5,Easy to pay through SETEL and cashless method.,1717104992,en,very positive,0.6555766463279724,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
56,56,JLN TUN ABDUL RAZAK,PETRONAS - Jalan Tun Abdul Razak,Simba Starlight,3,"Went there for the mechanic workshop located behind it only. David, the workshop owner is very reliable and honest man. We 're regular customer since 20 years ago. Will rescue whenever car break down in Ipoh anytime before 6pm.",1545797677,en,positive,0.4100281298160553,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
57,57,JLN TUN ABDUL RAZAK,PETRONAS - Jalan Tun Abdul Razak,rajasiva hika,4,This is a medium sized Petronas Station. This Petronas Station can fit-up to 7 vehicles for fueling. At the back of this Station there is a Car Workshop baked as Stesen Servis Emma. A Petronas Mesra store is also available here.,1518594676,en,very positive,0.4441777169704437,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
58,58,JLN TUN ABDUL RAZAK,PETRONAS - Jalan Tun Abdul Razak,Nur Aishah Azriy,4,"A small oil station has Setel app access, but no Touch n Go service.",1604901534,en,negative,0.319076269865036,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
59,59,JLN TUN ABDUL RAZAK,Caltex Silibin,leong kam seng,3,Good spacious pumping station but the tyre pumping nozzle was faulty...cannot pump in air. Hope it will be replaced in my next filling,1670248208,en,neutral,0.524796724319458,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
60,60,JLN TUN ABDUL RAZAK,Caltex Silibin,Nick,5,My go-to gas station. Large. Clean. Safe. Machine are in good condition. Cas wash available also.,1636454148,en,very positive,0.6503298282623291,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
61,61,JLN TUN ABDUL RAZAK,Caltex Silibin,Adr ian,3,A petrol station located at the point of turning into Jalan Silibin. Strategic for those coming home after a hard days work.,1511693318,en,positive,0.4445915222167969,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
62,62,JLN TUN ABDUL RAZAK,Caltex Silibin,JENSOM NG,4,Carwash very good n clean👍,1600865831,en,very positive,0.5478283762931824,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
63,63,JLN TUN ABDUL RAZAK,Caltex Silibin,rajan sundra,4,Not jammed with cars....easy filling,1519220214,en,very positive,0.5234334468841553,4.603073,101.071165,"Kinta, Perak","Kinta, Perak",941558.8869696336
64,64,TANJUNG MALIM,Petronas Tanjung Malim,akmal hisyam,5,U can find fuel and foods here.. for ur car and ur stomach... both had to refuel,1724861860,en,negative,0.3339022099971771,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
65,65,TANJUNG MALIM,Petronas Tanjung Malim,Mask Trooper,5,The best petronas petrol pam in Tanjong Malim.. it had just renew renovation clean toilet ever!!,1604978370,en,very positive,0.9266470074653624,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
66,66,TANJUNG MALIM,Petronas Tanjung Malim,Baharin abu bakar,5,There are facilities for disabled toilets,1713135496,en,neutral,0.3452071845531463,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
67,67,TANJUNG MALIM,Petronas Tanjung Malim,Fitri Puspita,5,"Have the common facilities for a petrol station, toilet, minimart, sometimes place for prayer (Surau)",1683166546,en,positive,0.4101111590862274,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
68,68,TANJUNG MALIM,Petronas Tanjung Malim,Mohd Shahran bin Daud,4,Easy access. Clean toliet and praying room.,1702287463,en,very positive,0.572327196598053,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
69,69,TANJUNG MALIM,BHPetrol Tg. Malim,Mohamad Khalil Kamarudin,4,Nice petrol pump station.,1721715096,it,very positive,0.4817238450050354,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
70,70,TANJUNG MALIM,BHPetrol Tg. Malim,Pot Jamal,3,Not many people,1716434120,en,neutral,0.3504350483417511,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
71,71,TANJUNG MALIM,BHPetrol Tg. Malim,Mask Trooper,3,BHP Petrol station Shares with KFC drive thruu.. this station had one of the cleanest toilet in tanjong malim town..,1549329585,en,very positive,0.3761849701404571,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
72,72,TANJUNG MALIM,BHPetrol Tg. Malim,Faysal Ahammed Hemal,5,"Neat and clean gas station.
Rest room also very good condition.",1563900043,en,very positive,0.5244795083999634,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
73,73,TANJUNG MALIM,BHPetrol Tg. Malim,Rozaimi Idris,3,Came here coz hv kfc drive thru,1635036129,en,very positive,0.4002828001976013,3.69456,101.51829,"Muallim, Perak","Muallim, Perak",81424.28046629245
74,74,SELAMA,Shell,wan neza,4,Nice..,1721606515,ro,positive,0.4616441130638122,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
75,75,SELAMA,Shell,Hao Keat Hoe,5,Good service and staff are polite,1693927841,en,positive,0.5645771622657776,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
76,76,SELAMA,Shell,Taiping DHatiku,5,Good,1709447887,so,positive,0.4969630539417267,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
77,77,SELAMA,Shell,Nor Fazila Mohd Uyub,5,Sgt best,1486644495,da,very positive,0.760549783706665,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
78,78,SELAMA,Shell,hayati rahim,4,Easy to fill in petrol,1635808882,en,very positive,0.5642183423042297,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
79,79,SELAMA,Petronas Selama,Vira,5,Clean & convince . Jst next to hospital  selama,1718163026,en,very positive,0.5103453993797302,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
80,80,SELAMA,Petronas Selama,Adreil Tan,5,had been visiting this place since i was little. located next to the Selama Hospital so its easy to get some snack before appoinment. it have tealive stall now🔥🔥,1640700092,en,very positive,0.4723598957061767,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
81,81,SELAMA,Petronas Selama,Ravitharan Dewarajok,5,Very good service and excellent staff 👏👍👌😀,1617201663,en,very positive,0.7717283368110657,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
82,82,SELAMA,Petronas Selama,ARS,5,The staff are very helpful and efficient,1642482889,en,very positive,0.6646983027458191,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
83,83,SELAMA,Petronas Selama,Aku Juan,4,This place have Tealive gais,1638616552,en,very positive,0.3680915236473083,5.213902,100.689195,"Selama, Perak","Selama, Perak",36050.44478660276
84,84,BATU GAJAH,Shell,Nanthini Nanthu,1,I have paid using bank card and there was 2 times detected … not 1st time … very careless service 😡,1724076633,en,very negative,0.8199876546859741,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
85,85,BATU GAJAH,Shell,Jimmy Sew,5,Very good service.,1581559499,en,very positive,0.589245617389679,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
86,86,BATU GAJAH,Shell,Faridah Sahar,3,My choice to fill my car gas,1614828431,en,very positive,0.4742670655250549,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
87,87,BATU GAJAH,Shell,Gideon Ramasamy,4,👍,1618103954,unknown,very positive,0.3085778355598449,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
88,88,BATU GAJAH,Shell,Chun Kheong Chong,4,My favourite petrol station,1504326526,it,very positive,0.8704524636268616,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
89,89,BATU GAJAH,Petronas Batu Gajah,Zal Danzig,4,"Okay everything is fine and neat except the fuel filling area. Cramped and lack of space. To the owner, please re-arrange your layout to cater the growing number of customers.",1637576256,en,neutral,0.8739224076271057,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
90,90,BATU GAJAH,Petronas Batu Gajah,kak wa,5,Nice. The staff is customer friendly. The petrol pump is near the wet market and the TF supermarket. The toilet here is nice and clean. There are two tyre pump here.,1563214596,en,positive,0.5743557214736938,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
91,91,BATU GAJAH,Petronas Batu Gajah,Mohammad Fauzi,4,"Comfortable environment...
⭐⭐⭐⭐",1713195059,fr,positive,0.4681726098060608,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
92,92,BATU GAJAH,Petronas Batu Gajah,icha cute,4,big place,1710497458,nl,very positive,0.5568453669548035,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
93,93,BATU GAJAH,Petronas Batu Gajah,Hi Dayat,4,Good place after hard driving,1662811513,en,positive,0.5428996682167053,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
94,94,BATU GAJAH,Shell,Mr Chan,1,"Dishonest petrol station,lcly cashier aunty Chinese
Unresponsive petrol station
Fuel at your own risk",1565601459,en,very negative,0.8021697998046875,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
95,95,BATU GAJAH,Shell,Nisha Thini,5,Toilet not clean its too much smell,1607839618,en,very negative,0.5020570158958435,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
96,96,BATU GAJAH,Shell,James Jacob,5,Place is clean and service is good.,1599046542,en,positive,0.5275695323944092,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
97,97,BATU GAJAH,Shell,Syed Zainudin Syed Mokhtar,3,Its ok,1598611257,en,neutral,0.6572648882865906,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
98,98,BATU GAJAH,Shell,leow kim soon,5,good👍🏻👍🏻👍🏻,1605350632,so,very positive,0.3085778355598449,4.473141,101.044676,"Kampar, Perak","Kampar, Perak",102350.11335966532
99,99,SLIM RIVER,Petronas - Slim River - Perak,Katthi,4,"Nice place to stop by...

Good location to rest...

Got coconut drink stall...",1577599031,en,positive,0.5709412693977356,3.837932,101.398773,"Muallim, Perak","Muallim, Perak",81424.28046629245
100,100,SLIM RIVER,Petronas - Slim River - Perak,MP,5,If the workers are more friendly it will be nicer.,1719694799,en,neutral,0.6052954196929932,3.837932,101.398773,"Muallim, Perak","Muallim, Perak",81424.28046629245
101,101,SLIM RIVER,Petronas - Slim River - Perak,Md Saiful Md Hussin,3,"Ok for refueling but the other amenities are poorly maintained/designed (THE TOILET, LOCKED Prayer room, small Mesra Shop)",1721612793,en,neutral,0.5573678016662598,3.837932,101.398773,"Muallim, Perak","Muallim, Perak",81424.28046629245
102,102,SLIM RIVER,Petronas - Slim River - Perak,Amirah Diyana,4,"The place is quite crowded, but it was an easy entry. Spaces for parking. Toilet: bolehlah.

There is a burger stall nearby, it might suit your taste if you would like to try.",1655815372,en,neutral,0.4830301105976105,3.837932,101.398773,"Muallim, Perak","Muallim, Perak",81424.28046629245
103,103,SLIM RIVER,Petronas - Slim River - Perak,Khairul Ramli,4,My choice during journey to north either when it comes to fuel or toilet because I don't like crowded place like at the R&R. Easily accessible from Slim River exit.,1592837673,en,positive,0.5063351988792419,3.837932,101.398773,"Muallim, Perak","Muallim, Perak",81424.28046629245
104,104,SUNGKAI,Petronas Sungkai,asmawati nasir,5,The toilet is clean. Keep it up.,1720072101,en,positive,0.3655997514724731,3.998078,101.310485,"Batang Padang, Perak","Batang Padang, Perak",130734.65896750773
